Hops,Time to Compute,Traveled,Ping
5,0.492991,18031001.961050045,60.14494894778154
5,0.515492,18031001.961050045,60.14494894778154
5,0.473993,18016461.50396386,60.09644720334077
5,0.502992,17900217.67263067,59.708699516543774
5,0.485992,17143258.71548382,57.1837562032709
5,0.484993,16948104.946592238,56.53279329547985
5,0.482991,19214595.410802905,64.09299175561277
5,0.48851,17197174.580423255,57.363600171524176
5,0.491991,17951428.25437731,59.87951963133225
5,0.486991,17077595.771195352,56.964728195813414
5,0.484491,17518174.232203014,58.43433976271576
5,0.478992,18061810.57130083,60.247715410493285
5,0.49799,18431277.61035791,61.48012480460119
5,0.496992,18045671.459585045,60.19388112816637
5,0.489992,17453243.065238804,58.21775270168508
5,0.477993,17624342.416167013,58.78847870730614
5,0.481989,17649180.181406595,58.87132857474771
5,0.478491,18044905.921046894,60.19132756645115
5,0.477491,17769060.632804256,59.27120672043948
5,0.478992,17157315.219950706,57.23064365552516
5,0.499992,17514937.269115556,58.42354241600915
5,0.500491,19197277.04366561,64.03522390058278
5,0.48849,18178292.57442706,60.63625755288205
5,0.479993,17086244.170967508,56.99357615245498
5,0.498491,17935439.99681318,59.82618854429473
5,0.492492,17295066.28075194,57.690131738178025
5,0.487492,17083539.90010352,56.98455567575563
5,0.494491,17518480.227445733,58.43536045298529
5,0.495491,18112328.00242801,60.416223423674175
5,0.497991,17414163.555142656,58.08739748655535
5,0.475492,17662926.584862884,58.91718164136486
5,0.496992,18362835.346723583,61.25182598565316
5,0.481992,17965034.983616497,59.9249067949078
5,0.500492,17156401.70209261,57.227596487927
5,0.500992,18588705.9794754,62.005249323136404
5,0.504491,17813727.612672728,59.42019972868406
5,0.496493,17100484.013329268,57.0410751541035
5,0.483492,17076941.383942507,56.962545394879804
5,0.486491,17567718.780389313,58.59960258769591
5,0.475493,17471967.099109016,58.28020935626551
5,0.499993,16961524.700295668,56.57755677579715
5,0.506991,19046076.113400567,63.53087188224832
5,0.489491,19072827.556313943,63.62010509135008
5,0.469492,17166451.09528492,57.26111765562546
5,0.509493,18307714.1640585,61.06796151020724
5,0.513494,18249982.543619025,60.87538955156038
5,0.510992,18646115.165122185,62.19674575507725
4,0.410491,19091782.504274517,63.68333199243185
5,0.483007,17262224.421219856,57.58058308585275
5,0.493491,18201114.46347004,60.712383181083254
5,0.473992,17779921.369566783,59.307434238994944
5,0.491493,18284714.81189282,60.99124392874255
5,0.482992,18072758.71390722,60.28423448356292
5,0.491992,17698278.657377724,59.035103462969474
5,0.502492,18014528.64665399,60.08999988530062
5,0.472992,17189662.63694995,57.338543025078486
5,0.503504,17909146.082591742,59.73848148664469
5,0.477491,17487249.581414912,58.33118623043307
5,0.511503,17591563.810363535,58.67914104670978
5,0.485989,18907465.634186618,63.06851708832399
5,0.492992,17870699.380088154,59.61023709044951
5,0.495992,17681942.047827415,58.98061039877339
5,0.501,18096362.80663239,60.36296926241663
5,0.493992,17086450.856804572,56.994265582201876
5,0.496992,17250859.26295528,57.542672998266774
5,0.492992,17985218.688307706,59.99223238728764
5,0.498991,17558914.845057614,58.57023582026899
5,0.491492,17346529.597031064,57.861794884628665
5,0.491997,17723825.54649575,59.12031871307579
5,0.48249,18689990.481271632,62.343098057382846
5,0.495492,18301707.033194005,61.04792387835805
5,0.495491,17686690.831298053,58.99645063549582
5,0.51699,18135108.971356384,60.49221255706443
5,0.511992,17480010.080841772,58.307037855688314
5,0.501493,17953216.8196988,59.885485643103706
5,0.497492,17213731.93833298,57.41882957299292
5,0.472492,17634415.288284816,58.8220781922705
5,0.484991,17736387.973647956,59.16222245982052
5,0.484493,17805240.505834453,59.391889787361606
5,0.498992,18292703.93081612,61.017892761171154
5,0.505493,18033029.44643283,60.15171191109902
5,0.496491,17406742.294440035,58.06264282527521
5,0.508492,17344908.616366472,57.856387875105405
5,0.489992,17329384.945324495,57.80460648190725
5,0.517993,17841356.62336896,59.51236018883997
5,0.524488,17861620.277785074,59.5799524647981
5,0.505989,17845781.957844477,59.5271215158412
5,0.493516,17943248.42903974,59.852234670774166
5,0.480991,17338831.652353633,57.83611730494523
5,0.489494,18156690.231961984,60.564199894216095
5,0.483993,17666722.460153997,58.929843318518984
5,0.492492,18120074.13295362,60.44206173404717
5,0.494991,18204874.953419242,60.724926825441
5,0.495011,17442890.088523388,58.18321888834784
5,0.510492,17563682.103371605,58.5861376824359
5,0.507493,17732834.833208516,59.15037045898352
5,0.497993,17308415.19103378,57.73465891027551
5,0.503989,17737760.689274225,59.16680134630948
5,0.494991,17601579.048174504,58.71254828431875
5,0.504992,17189668.27508672,57.338561831878515
5,0.503992,17295939.169991713,57.693043383292185
5,0.504491,17640547.722314958,58.842533790493235
5,0.51449,19448934.177976813,64.87466174924967
5,0.485491,17526556.58872609,58.46230029459477
5,0.497492,17857203.30424132,59.56521902686343
5,0.504992,18530979.40134045,61.81269418380712
5,0.485992,16782247.252729513,55.9795515759393
5,0.496491,17626898.81884033,58.7970059488099
5,0.480989,18128410.181089483,60.469867797772345
5,0.497492,17363486.73011206,57.91835779253918
5,0.488492,17989826.621113643,60.00760279676165
5,0.498992,17826151.364244476,59.46164090348049
5,0.483992,17239350.484907415,57.50428384664694
5,0.494491,17632343.345103275,58.81516693369788
5,0.509491,18207993.793442924,60.735330156016076
5,0.504491,18174034.276403595,60.62205339951448
5,0.489992,17035534.11454926,56.82442561046053
5,0.473993,18209494.90436521,60.740337323115334
5,0.470993,17902716.520063847,59.71703477443024
5,0.509491,18688387.44645514,62.337750908765834
5,0.511992,17729792.101221144,59.140220997492825
5,0.494491,18751481.80362216,62.54821103177513
5,0.475492,17259568.72751827,57.571724645126736
5,0.490991,18145582.680021476,60.527149088839906
5,0.495493,17121320.4073923,57.11057788389545
4,0.398493,17186877.685128454,57.32925342567144
5,0.465992,18014655.638315406,60.09042348388982
5,0.506492,18273968.705231823,60.95539877505064
5,0.479994,17010133.90765605,56.7396996395935
5,0.488492,18473804.015226923,61.62197762316916
5,0.502515,20207520.25612186,67.40503255399415
5,0.48349,17465526.176057033,58.258724749421425
5,0.475049,16967445.758171353,56.597307299058095
5,0.492991,16931143.090390854,56.47621463293544
5,0.493512,17235107.195183944,57.49012975557979
5,0.492491,19323378.385546107,64.45585270346533
5,0.480008,18010570.00899348,60.07679529131807
5,0.506492,17347778.280263968,57.86596004358418
5,0.473005,18086731.548616357,60.33084284354492
5,0.500991,17403014.046828035,58.05020672977854
5,0.493014,18688910.679075286,62.339496224932645
5,0.498987,17552651.05685763,58.54934207169519
5,0.489005,17185340.24842099,57.32412508879473
5,0.502491,17734323.848032247,59.1553372778408
5,0.492005,17383482.579392884,57.98505676671491
5,0.483489,18045656.478214506,60.19383115569294
5,0.485003,17688308.936786037,59.00184805446217
5,0.502992,18240328.9185787,60.843188524325974
5,0.513491,17662358.974553417,58.91528829715921
5,0.503494,18942332.273291703,63.18481967835676
5,0.499492,17132783.636482574,57.14881510054601
5,0.486992,17095987.79397003,57.02607738057968
5,0.491991,17221134.57756551,57.443522119734425
5,0.492492,17781084.08001123,59.3113126235946
5,0.468993,17914731.90685394,59.75711379092855
5,0.486992,17275027.925841816,57.62329098048356
5,0.471492,17361981.652982406,57.91333739559613
5,0.475491,17100299.61647187,57.04046007239046
5,0.495992,18038519.14943567,60.170023589371674
5,0.529992,18135486.289234456,60.49347115403883
5,0.491991,18230123.554949634,60.8091470952479
5,0.493991,17661826.858239394,58.91351334817909
5,0.493992,17947597.04760403,59.86674010103854
5,0.497492,18456930.805745624,61.5656946542565
5,0.490992,17319360.51889928,57.77116859438011
5,0.497993,17707859.398161944,59.06706137449284
5,0.513492,16962181.779009596,56.57974855447862
5,0.472992,17264378.31109615,57.58776768917811
5,0.484492,17536814.800647255,58.49651800660139
5,0.484492,17225653.510655653,57.458595658109736
5,0.511491,18342835.976679552,61.18511526747542
5,0.492995,16974476.956191145,56.62076085127087
5,0.502991,17872442.319845647,59.61605091172023
5,0.528492,19256079.67084481,64.23136835319434
5,0.509992,17863305.56711942,59.585573984955175
5,0.494094,17437162.84284484,58.16411485299297
5,0.470992,17838412.173421416,59.502538560948366
5,0.475992,17375693.518996138,57.95907525770475
5,0.509491,17853054.826671116,59.55138119509957
5,0.498492,17805462.06662285,59.39262883460567
5,0.487992,18031881.420299865,60.14788250809042
5,0.495992,18438206.9404119,61.503238561853266
5,0.489491,17477672.579060357,58.29924078896888
5,0.494493,17947043.690328162,59.864894299835754
5,0.497991,17734854.766016856,59.157108229624214
5,0.498992,18094914.141858034,60.358137036837356
5,0.473492,17396145.731392354,58.027296495387304
5,0.497492,17329201.611486077,57.803994946043865
5,0.493493,17159916.7013147,57.2393212633566
5,0.478992,16702726.70986837,55.71429959487829
5,0.49949,16994798.474388827,56.68854614002971
5,0.485991,17545562.888615645,58.525698487274965
5,0.509992,17599361.95469258,58.705152856456735
5,0.473992,17482477.755877137,58.31526913364737
5,0.463493,17603097.166200176,58.7176121810089
5,0.476492,17443865.209335122,58.18647154128229
